name, desc, gmina, powiat, wojew
Baranowce,kolonia wsi Malinniki,Orla,bielski,podlaskie
Baranowice,część wsi Ochaby Wielkie,Skoczów,cieszyński,śląskie
Baranowizna,przysiółek wsi Choroń,Poraj,myszkowski,śląskie
Baranowo,wieś,Mikołajki,mrągowski,warmińsko-mazurskie
Baranowo,część wsi Góreczki Wielkie,Pakosław,rawicki,wielkopolskie
Baranów,wieś,Chotcza,lipski,mazowieckie
Baranów,wieś,Skalbmierz,kazimierski,świętokrzyskie
Baranówek,wieś,Baćkowice,opatowski,świętokrzyskie
Baranówka,część wsi Wiktorowice,Kocmyrzów-Luborzyca,krakowski,małopolskie
Baranówka,część wsi Moszczenica Niżna,Stary Sącz,nowosądecki,małopolskie
Baranówka,część wsi Równe,Dukla,krośnieński,podkarpackie
Baranówka,osada,Frombork,braniewski,warmińsko-mazurskie
Barany,wieś,Lipno,lipnowski,kujawsko-pomorskie
Barany,przysiółek,Grębów,tarnobrzeski,podkarpackie
Barańciak,przysiółek wsi Chocznia,Wadowice,wadowicki,małopolskie
Barbarka,część miasta Toruń,Toruń,Toruń,kujawsko-pomorskie
Barbarki,część wsi Błociszewo,Śrem,śremski,wielkopolskie
Barce,część miasta Nisko,Nisko,niżański,podkarpackie
Barchnowy,wieś,Starogard Gdański,starogardzki,pomorskie
Barcice,wieś,Ryjewo,kwidzyński,pomorskie
Barcie,kolonia,Dubeninki,gołdapski,warmińsko-mazurskie
Barcikowo,wieś,Słupno,płocki,mazowieckie
Barcinek,osada,Miłomłyn,ostródzki,warmińsko-mazurskie
Barcynka,część wsi Podegrodzie,Podegrodzie,nowosądecki,małopolskie
Barczew,wieś,Brzeźnio,sieradzki,łódzkie
Barczków,wieś,Szczurowa,brzeski,małopolskie
Barć,część wsi Jawornik-Przedmieście,Jawornik Polski,przeworski,podkarpackie
Bardo,część wsi Rozalin,Nowa Dęba,tarnobrzeski,podkarpackie
Bardo Poduchowne,część wsi Bardo,Raków,kielecki,świętokrzyskie
Bardychowo,część wsi Żachy-Pawły,Małkinia Górna,ostrowski,mazowieckie
Bardzinek,wieś,Krośniewice,kutnowski,łódzkie
Bargłowa,część wsi Skomielna Czarna,Tokarnia,myślenicki,małopolskie
Bargłówka,część wsi Harbutowice,Sułkowice,myślenicki,małopolskie
Bargły,część wsi Smoszew,Krotoszyn,krotoszyński,wielkopolskie
Barka,część wsi Jaroszewy,Skarszewy,starogardzki,pomorskie
Barkowo,wieś,Żmigród,trzebnicki,dolnośląskie
Barkówko,część wsi Barkowo,Człuchów,człuchowski,pomorskie
Barlinek,miasto,Barlinek,myśliborski,zachodniopomorskie
Barłogi,wieś,Grzegorzew,kolski,wielkopolskie
Barłożnia Wolsztyńska,wieś,Wolsztyn,wolsztyński,wielkopolskie
Barnasiówka,część wsi Szynwałd,Skrzyszów,tarnowski,małopolskie
Barnimie,wieś,Drawno,choszczeński,zachodniopomorskie
Barnisławice,osada leśna,Golczewo,kamieński,zachodniopomorskie
Barnowo,część wsi Mielno,Mielno,koszaliński,zachodniopomorskie
Barszczałówka,część wsi Orzechowce,Żurawica,przemyski,podkarpackie
Barszczowa Góra,wieś,Nowinka,augustowski,podlaskie
Barszów,wieś,Polkowice,polkowicki,dolnośląskie
Bartel Wielki,wieś,Kaliska,starogardzki,pomorskie
Bartki,osada,Wieliczki,olecki,warmińsko-mazurskie
